Oenanthe_deserti,Aavikkotasku
Monticola_saxatilis,Kivikkorastas
Monticola_solitarius,Sinirastas
Zoothera_dauma,Kirjorastas
Catharus_ustulatus,Korpirastas
Turdus_torquatus,Sepelrastas
Turdus_merula,Mustarastas
Turdus_obscurus,Harmaakurkkurastas
Turdus_naumanni,Ruosterastas
Turdus_eunomus,Ruostesiipirastas
Turdus_atrogularis,Mustakaularastas
Turdus_pilaris,Räkättirastas
Turdus_philomelos,Laulurastas
Turdus_iliacus,Punakylkirastas
Turdus_viscivorus,Kulorastas
Locustella_certhiola,Sarasirkkalintu
Locustella_lanceolata,Viirusirkkalintu
Locustella_naevia,Pensassirkkalintu
Locustella_fluviatilis,Viitasirkkalintu
Locustella_luscinioides,Ruokosirkkalintu
Iduna_aedon,Paksunokkakerttunen
Iduna_caligata,Pikkukultarinta
Iduna_rama,Aavikkokultarinta
Iduna_pallida,Vaaleakultarinta
Hippolais_icterina,Kultarinta
Acrocephalus_paludicola,Sarakerttunen
Acrocephalus_schoenobaenus,Ruokokerttunen
Acrocephalus_agricola,Kenttäkerttunen
Acrocephalus_dumetorum,Viitakerttunen
Acrocephalus_palustris,Luhtakerttunen
Acrocephalus_scirpaceus,Rytikerttunen
Acrocephalus_arundinaceus,Rastaskerttunen
Sylvia_undata,Ruskokerttu
Sylvia_cantillans,Rusorintakerttu
Sylvia_melanocephala,Samettipääkerttu
Sylvia_ruppeli,Mustakurkkukerttu
Sylvia_nana,Kääpiökerttu
Sylvia_nisoria,Kirjokerttu
Sylvia_curruca,Hernekerttu
Sylvia_communis,Pensaskerttu
Sylvia_borin,Lehtokerttu
Sylvia_atricapilla,Mustapääkerttu
Phylloscopus_coronatus,Amurinuunilintu
Phylloscopus_nitidus,Kaukasianuunilintu
Phylloscopus_plumbeitarsus,Burjatianuunilintu
Phylloscopus_trochiloides,Idänuunilintu
Phylloscopus_borealis,Lapinuunilintu
Phylloscopus_proregulus,Hippiäisuunilintu
Phylloscopus_inornatus,Taigauunilintu
Phylloscopus_humei,Kashmirinuunilintu
Phylloscopus_schwarzi,Siperianuunilintu
Phylloscopus_fuscatus,Ruskouunilintu
Phylloscopus_bonelli,Vuoriuunilintu
Phylloscopus_orientalis,Balkaninuunilintu
Phylloscopus_sibilatrix,Sirittäjä
Phylloscopus_collybita,Tiltaltti
Phylloscopus_ibericus,Iberiantiltaltti
Phylloscopus_trochilus,Pajulintu
Regulus_regulus,Hippiäinen
Regulus_ignicapilla,Tulipäähippiäinen
Muscicapa_striata,Harmaasieppo
Ficedula_parva,Pikkusieppo
Ficedula_albicilla,Idänpikkusieppo
Ficedula_albicollis,Sepelsieppo
Ficedula_hypoleuca,Kirjosieppo
Panurus_biarmicus,Viiksitimali
Aegithalos_caudatus,Pyrstötiainen
Cyanistes_cyanus,Valkopäätiainen
Cyanistes_caeruleus,Sinitiainen
Parus_major,Talitiainen
Periparus_ater,Kuusitiainen
Lophophanes_cristatus,Töyhtötiainen
Poecile_palustris,Viitatiainen
Poecile_montanus,Hömötiainen
Poecile_cinctus,Lapintiainen
Sitta_europaea,Pähkinänakkeli
Certhia_familiaris,Puukiipijä
Remiz_pendulinus,Pussitiainen
Oriolus_oriolus,Kuhankeittäjä
Lanius_isabellinus,Punapyrstölepinkäinen
Lanius_collurio,Pikkulepinkäinen
Lanius_minor,Mustaotsalepinkäinen
Lanius_excubitor,Isolepinkäinen
Lanius_meridionalis,Etelänisolepinkäinen
Lanius_senator,Punapäälepinkäinen
Lanius_nubicus,Valko-otsalepinkäinen
Garrulus_glandarius,Närhi
Perisoreus_infaustus,Kuukkeli
Pica_pica,Harakka
Nucifraga_caryocatactes,Pähkinähakki
Corvus_monedula,Naakka
Corvus_dauuricus,Idännaakka
Corvus_frugilegus,Mustavaris
Corvus_corone_cornix,Varis
Corvus_corax,Korppi
Sturnus_vulgaris,Kottarainen
Pastor_roseus,Punakottarainen
Passer_domesticus,Varpunen
Passer_hispaniolensis,Pensasvarpunen
Passer_montanus,Pikkuvarpunen
Fringilla_coelebs,Peippo
Fringilla_montifringilla,Järripeippo
Serinus_serinus,Keltahemppo
Carduelis_chloris,Viherpeippo
Carduelis_carduelis,Tikli
Carduelis_spinus,Vihervarpunen
Carduelis_cannabina,Hemppo
Carduelis_flavirostris,Vuorihemppo
Carduelis_flammea,Urpiainen
Carduelis_hornemanni,Tundraurpiainen
Loxia_leucoptera,Kirjosiipikäpylintu
Loxia_curvirostra,Pikkukäpylintu
Loxia_pytyopsittacus,Isokäpylintu
Bucanetes_githagineus,Aavikkotulkku
Carpodacus_erythrinus,Punavarpunen
Pinicola_enucleator,Taviokuurna
Pyrrhula_pyrrhula,Punatulkku
Coccothraustes_coccothraustes,Nokkavarpunen
Dendroica_striata,Viirukerttuli
Passerella_iliaca,Kettusirkku
Zonotrichia_albicollis,Valkokurkkusirkku
Calcarius_lapponicus,Lapinsirkku
Plectrophenax_nivalis,Pulmunen
Emberiza_spodocephala,Harmaapääsirkku
Emberiza_leucocephalos,Mäntysirkku
Emberiza_citrinella,Keltasirkku
Emberiza_hortulana,Peltosirkku
Emberiza_buchanani,Kivikkosirkku
Emberiza_caesia,Ruostekurkkusirkku
Emberiza_rustica,Pohjansirkku
Emberiza_pusilla,Pikkusirkku
Emberiza_rutila,Kastanjasirkku
Emberiza_aureola,Kultasirkku
Emberiza_schoeniclus,Pajusirkku
Emberiza_pallasi,Pikkupajusirkku
Emberiza_melanocephala,Mustapääsirkku
Emberiza_calandra,Harmaasirkku
Cygnus_atratus,Mustajoutsen
Anser_cygnoides,Joutsenhanhi
Anser_indicus,Tiibetinhanhi
Anser_rossii,Eskimohanhi
Alopochen_aegyptiaca,Afrikanhanhi
Aix_sponsa,Morsiosorsa
Anas_sibilatrix,Patagonianhaapana
Anas_falcata,Sirppisorsa
Anas_formosa,Siperiantavi
Anas_bahamensis,Valkoposkisorsa
Anas_cyanoptera,Punatavi
Bucephala_albeola,Pikkutelkkä
Mergus_cucullatus,Harjakoskelo
Ardeola_bacchus,Kiinanriisihaikara
Ardeola_grayii,Intianriisihaikara
Ciconia_abdimii,Savannihaikara
Phoenicopterus_roseus,Flamingo
Phoenicopterus_chilensis,Chilenflamingo
Phoenicopterus_minor,Pikkuflamingo
Haliaeetus_pelagicus,Kuningasmerikotka
Streptopelia_senegalensis,Palmukyyhky
Clamator_jacobinus,Jakobiinikäki
Phoenicurus_erythrogastrus,Vuorileppälintu
Tichodroma_muraria,Kalliokiipijä
Sturnus_sinensis,Kiinankottarainen
Sturnus_cineraceus,Viirupääkottarainen
Acridotheres_tristis,Pihamaina
Serinus_citrinella,Sitruunahemppo
Uragus_sibiricus,Pyrstötulkku
Eophona_personata,Japaninnokkavarpunen
Emberiza_cioides,Niittysirkku
Emberiza_elegans,Kultatöyhtösirkku
Emberiza_bruniceps,Ruskopääsirkku
Passerina_cyanea,Indigokardinaali
Passerina_amoena,Turkoosikardinaali
Passerina_ciris,Sateenkaarikardinaali
